,date,time,distance(m),speed(mm/s),heart_rate(bpm),position_lat,position_long
192,2018-12-10,08:05:05,1174.69,342,92,33.65018888376653,73.03236882202327
193,2018-12-10,08:05:19,1178.37,332,89,33.65018427371979,73.0323430057615
194,2018-12-10,08:05:30,1179.92,315,86,33.65018343552947,73.03235029801726
195,2018-12-10,08:05:48,1182.85,291,83,33.65018385462463,73.0323551595211
196,2018-12-10,08:05:58,1184.37,298,78,33.650193493813276,73.03235507570207
197,2018-12-10,08:06:07,1186.44,310,82,33.65020011551678,73.03235666826367
198,2018-12-10,08:06:08,1186.66,308,85,33.65020154044032,73.03235842846334
199,2018-12-10,08:06:10,1187.58,318,90,33.65020019933581,73.03236681036651
200,2018-12-10,08:06:13,1187.87,326,93,33.65019123069942,73.03236664272845
201,2018-12-10,08:06:22,1190.69,352,90,33.650181759148836,73.03233856335282
202,2018-12-10,08:06:33,1193.9,362,93,33.65016725845635,73.03232347592711
203,2018-12-10,08:06:36,1203.41,527,97,33.65013733506203,73.03222741931677
204,2018-12-10,08:06:39,1215.27,729,94,33.65008779801428,73.03211392834783
205,2018-12-10,08:06:42,1224.04,859,90,33.65008025430143,73.0320203024894
206,2018-12-10,08:06:43,1227.23,905,88,33.650092743337154,73.03198928944767
207,2018-12-10,08:06:48,1248.83,1236,86,33.65023749880493,73.03183648735285
208,2018-12-10,08:06:53,1272.29,1569,88,33.650417709723115,73.0317044723779
209,2018-12-10,08:06:54,1276.38,1620,91,33.6504459567368,73.03167597390711
210,2018-12-10,08:06:55,1279.57,1651,92,33.65045643411577,73.03164378739893
211,2018-12-10,08:07:00,1301.7,1920,94,33.65039583295584,73.03143298253417
212,2018-12-10,08:07:01,1307.52,1998,95,33.650364903733134,73.03138227201998
213,2018-12-10,08:07:04,1327.13,2265,98,33.6502752173692,73.031199965626
214,2018-12-10,08:07:08,1352.26,2576,100,33.65015611052513,73.03096988238394
215,2018-12-10,08:07:14,1372.86,2674,102,33.65004848688841,73.03079009056091
216,2018-12-10,08:07:20,1396.86,2826,102,33.64993373863399,73.03057073615491
217,2018-12-10,08:07:25,1420.07,3001,102,33.649819577112794,73.03036144003272
218,2018-12-10,08:07:28,1433.82,3094,105,33.64975386299193,73.03023579530418
219,2018-12-10,08:07:29,1438.12,3118,108,33.649738943204284,73.03019296377897
220,2018-12-10,08:07:31,1445.82,3147,104,33.6497070081532,73.03011920303106
221,2018-12-10,08:07:33,1452.47,3155,107,33.6496742349118,73.03005918860435
222,2018-12-10,08:07:35,1458.04,3141,110,33.64966451190412,73.02999992854893
223,2018-12-10,08:07:39,1466.8,3066,112,33.64966979250312,73.02990965545177
224,2018-12-10,08:07:47,1488.35,3011,112,33.649825444445014,73.02977143786848
225,2018-12-10,08:07:48,1490.8,3000,112,33.6498381011188,73.02974972873926
226,2018-12-10,08:07:54,1514.07,3104,110,33.64978169091046,73.02952408790588
227,2018-12-10,08:07:56,1526.14,3221,110,33.64972511306405,73.02941269241273
228,2018-12-10,08:07:59,1548.15,3463,109,33.64962184801698,73.02920993417501
229,2018-12-10,08:08:03,1569.6,3609,108,33.64952134899795,73.02901279181242
